requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
50,676.77306,1,585.2435352,1741.44,1,4,44,0
1,0,1,0,2,1,1,1,0
23,931.2020435,1,671.5081946,988.8695652,0.956521739,3,14,0
140,55.73932143,1,39.29837472,15.72857143,0.992857143,3,97,0
6,0.154666667,1,17.18391927,19.16666667,0.833333333,1,6,0
1,0,1,0,2,1,1,1,0
9,0.399666667,1,29.6672092,11.22222222,0.888888889,1,9,0
12,1001.321667,0.958333333,32.09529622,26.83333333,0.833333333,4,12,0
1,0,1,0,3,1,1,1,0
1,0,1,0,4,1,1,1,0
1,0,0.5,516.6767578,567,1,1,1,0
1,0,1,0,2,1,1,1,0
28,0.526892857,1,23.47342355,46.71428571,0.964285714,2,28,0
1,0,1,0,2,1,1,1,0
5,0.2066,1,7.47265625,13.2,0.8,1,5,0
1,0,1,0,3,1,1,1,0
1,0,1,14.92675781,3,1,1,1,0
9,0.387333333,1,29.6672092,32.44444444,0.888888889,1,9,0
1,0,1,366.8847656,231,1,1,1,0
94,90.13451064,1,20.97608461,20.42553191,1,4,51,0
1,0,1,0,6,1,1,1,0
92,315.8220326,1,217.041748,148.423913,1,3,71,0
41,51.47339024,1,23.91868331,35.19512195,1,4,27,0
1022,35.66403053,0.06118477,2925.938554,1838.536022,0.429962089,3,1014,1
1,0,1,0,57,1,1,1,0
1,0,1,14.92675781,13,1,1,1,0
6,11.45216667,1,9.102539063,12,0.833333333,2,6,0
4,2.63,1,435.3356934,1066,1,1,4,0
17,363.9994706,1,13.40016085,41.70588235,0.941176471,4,13,0
61,2.737770492,1,34.345479,200.8688525,0.950819672,5,59,0
9,0.248111111,1,29.6672092,25.77777778,0.888888889,1,9,0
67,10.29680597,1,319.5037168,129.8955224,1,2,67,0
2,1273.9715,1,21.46875,3,1,1,1,0
360,172.6334333,0.970833333,256.0767388,83.02222222,0.977777778,2,164,0
80,0.8569,1,38.44067383,20.6625,0.9875,1,80,0
185,396.5568649,1,129.0986011,70.24864865,0.962162162,6,106,0
1,0,1,0,2,1,1,1,0
1,0,1,0,3,1,1,1,0
8,1290.77825,1,34.95410156,641,1,4,7,0
1,0,1,9.356445313,49,0,1,1,0
